,_id,AIRPORT,Year_Ended_December,Rank,Dom_Acm_In,Dom_Acm_Out,Dom_Acm_Total,Int_Acm_In,Int_Acm_Out,Int_Acm_Total,Acm_In,Acm_Out,Acm_Total
0,1,TOTAL AUSTRALIA,1985,,425190,425190,850380,21063,20828,41891,446253,446018,892271
1,2,TOTAL AUSTRALIA,1986,,427697,427697,855394,24150,24068,48218,451847,451765,903612
2,3,TOTAL AUSTRALIA,1987,,429860,429860,859720,26795,26669,53464,456655,456529,913184
3,4,TOTAL AUSTRALIA,1988,,450392,450392,900784,30215,29919,60134,480607,480311,960918
4,5,TOTAL AUSTRALIA,1989,,386229,386229,772458,33784,33221,67005,420013,419450,839463
5,6,TOTAL AUSTRALIA,1990,,415175,415175,830350,36401,35956,72357,451576,451131,902707
6,7,TOTAL AUSTRALIA,1991,,469821,469821,939642,37088,36930,74018,506909,506751,1013660
7,8,TOTAL AUSTRALIA,1992,,508792,508792,1017584,40560,40430,80990,549352,549222,1098574
8,9,TOTAL AUSTRALIA,1993,,527512,527512,1055024,43677,43491,87168,571189,571003,1142192
9,10,TOTAL AUSTRALIA,1994,,550023,550022,1100045,44127,43829,87956,594150,593851,1188001
10,11,TOTAL AUSTRALIA,1995,,570942,570942,1141884,47721,47246,94967,618663,618188,1236851
11,12,TOTAL AUSTRALIA,1996,,588790,588791,1177581,51423,50900,102323,640213,639691,1279904
12,13,TOTAL AUSTRALIA,1997,,581723,581723,1163446,52919,52283,105202,634642,634006,1268648
13,14,TOTAL AUSTRALIA,1998,,584513,584513,1169026,53347,52791,106138,637860,637304,1275164
14,15,TOTAL AUSTRALIA,1999,,587612,587612,1175224,52822,52332,105154,640434,639944,1280378
15,16,TOTAL AUSTRALIA,2000,,605780,605780,1211560,56196,55658,111854,661976,661438,1323414
16,17,TOTAL AUSTRALIA,2001,,563927,563927,1127854,55081,54631,109712,619008,618558,1237566
17,18,TOTAL AUSTRALIA,2002,,478711,478711,957422,52748,52537,105285,531459,531248,1062707
18,19,TOTAL AUSTRALIA,2003,,478087,478087,956174,54353,54211,108564,532440,532298,1064738
19,20,TOTAL AUSTRALIA,2004,,523678,523678,1047356,63977,63989,127966,587655,587667,1175322
20,21,TOTAL AUSTRALIA,2005,,541591,541591,1083182,67194,67129,134323,608785,608720,1217505
21,22,TOTAL AUSTRALIA,2006,,538902,538902,1077804,65812,65738,131550,604714,604640,1209354
22,23,TOTAL AUSTRALIA,2007,,545378,545378,1090756,67344,67186,134530,612722,612564,1225286
23,24,TOTAL AUSTRALIA,2008,,568360,568360,1136720,71732,71610,143342,640092,639970,1280062
24,25,TOTAL AUSTRALIA,2009,,555303,555303,1110606,74811,74456,149267,630114,629759,1259873
25,26,TOTAL AUSTRALIA,2010,,599861,599861,1199722,78991,78773,157764,678852,678634,1357486
26,27,TOTAL AUSTRALIA,2011,,605556,605556,1211112,81855,81693,163548,687411,687249,1374660
27,28,TOTAL AUSTRALIA,2012,,631862,631862,1263724,83645,83453,167098,715507,715315,1430822
28,29,TOTAL AUSTRALIA,2013,,642671,642671,1285342,88067,87872,175939,730738,730543,1461281
29,30,TOTAL AUSTRALIA,2014,,633661,633661,1267322,90868,90727,181595,724529,724388,1448917
30,31,TOTAL AUSTRALIA,2015,,636917,636917,1273834,89957,89815,179772,726874,726732,1453606
31,32,TOTAL AUSTRALIA,2016,,643670,643670,1287340,96816,96791,193607,740486,740461,1480947
32,33,TOTAL AUSTRALIA,2017,,638203,638203,1276406,100635,100551,201186,738838,738754,1477592
33,34,TOTAL AUSTRALIA,2018,,629140,629140,1258280,105194,105161,210355,734334,734301,1468635
34,35,TOTAL AUSTRALIA,2019,,635632,635632,1271264,105814,105855,211669,741446,741487,1482933
35,36,TOTAL AUSTRALIA,2020,,282290,282290,564580,39202,39074,78276,321492,321364,642856
36,37,ADELAIDE,1985,4,23526,23498,47024,443,443,886,23969,23941,47910
37,38,ADELAIDE,1986,3,26266,26330,52596,834,837,1671,27100,27167,54267
38,39,ADELAIDE,1987,4,23042,22929,45971,817,819,1636,23859,23748,47607
39,40,ADELAIDE,1988,4,23631,23619,47250,814,813,1627,24445,24432,48877
40,41,ADELAIDE,1989,4,21611,21726,43337,985,980,1965,22596,22706,45302
41,42,ADELAIDE,1990,4,21588,21650,43238,1103,1101,2204,22691,22751,45442
42,43,ADELAIDE,1991,4,25791,25734,51525,1152,1159,2311,26943,26893,53836
43,44,ADELAIDE,1992,4,27621,27592,55213,1187,1185,2372,28808,28777,57585
44,45,ADELAIDE,1993,4,28223,28148,56371,1133,1134,2267,29356,29282,58638
45,46,ADELAIDE,1994,4,29483,29472,58955,1146,1146,2292,30629,30618,61247
46,47,ADELAIDE,1995,4,31700,31637,63337,1067,1068,2135,32767,32705,65472
47,48,ADELAIDE,1996,4,32932,32898,65830,1087,1080,2167,34019,33978,67997
48,49,ADELAIDE,1997,4,34339,34316,68655,1021,1013,2034,35360,35329,70689
49,50,ADELAIDE,1998,4,35724,35668,71392,1018,1025,2043,36742,36693,73435
50,51,ADELAIDE,1999,4,35087,35105,70192,983,968,1951,36070,36073,72143
51,52,ADELAIDE,2000,4,34669,34669,69338,947,974,1921,35616,35643,71259
52,53,ADELAIDE,2001,4,35128,35068,70196,879,937,1816,36007,36005,72012
53,54,ADELAIDE,2002,4,32300,32243,64543,820,883,1703,33120,33126,66246
54,55,ADELAIDE,2003,4,31712,31723,63435,888,885,1773,32600,32608,65208
55,56,ADELAIDE,2004,4,33617,33687,67304,995,995,1990,34612,34682,69294
56,57,ADELAIDE,2005,4,34149,34203,68352,1169,1170,2339,35318,35373,70691
57,58,ADELAIDE,2006,4,34273,34271,68544,1423,1422,2845,35696,35693,71389
58,59,ADELAIDE,2007,4,35670,35722,71392,1526,1522,3048,37196,37244,74440
59,60,ADELAIDE,2008,4,35755,35682,71437,1662,1662,3324,37417,37344,74761
60,61,ADELAIDE,2009,5,34719,34765,69484,1761,1760,3521,36480,36525,73005
61,62,ADELAIDE,2010,5,37063,37023,74086,1643,1642,3285,38706,38665,77371
62,63,ADELAIDE,2011,5,35038,34993,70031,1728,1727,3455,36766,36720,73486
63,64,ADELAIDE,2012,5,34994,34964,69958,2020,2026,4046,37014,36990,74004
64,65,ADELAIDE,2013,5,35541,35520,71061,2353,2357,4710,37894,37877,75771
65,66,ADELAIDE,2014,5,36359,36369,72728,2668,2680,5348,39027,39049,78076
66,67,ADELAIDE,2015,5,37064,37050,74114,2147,2145,4292,39211,39195,78406
67,68,ADELAIDE,2016,5,37201,37177,74378,2322,2336,4658,39523,39513,79036
68,69,ADELAIDE,2017,5,36626,36626,73252,2386,2380,4766,39012,39006,78018
69,70,ADELAIDE,2018,5,36572,36550,73122,2490,2485,4975,39062,39035,78097
70,71,ADELAIDE,2019,5,36911,36855,73766,2711,2722,5433,39622,39577,79199
71,72,ADELAIDE,2020,5,15752,15707,31459,779,789,1568,16531,16496,33027
72,73,ALBANY,1985,,596,596,1192,0,0,0,596,596,1192
73,74,ALBANY,1986,,624,624,1248,0,0,0,624,624,1248
74,75,ALBANY,1987,,631,630,1261,0,0,0,631,630,1261
75,76,ALBANY,1988,,623,623,1246,0,0,0,623,623,1246
76,77,ALBANY,1989,,621,621,1242,0,0,0,621,621,1242
77,78,ALBANY,1990,,592,592,1184,0,0,0,592,592,1184
78,79,ALBANY,1991,,613,615,1228,0,0,0,613,615,1228
79,80,ALBANY,1992,,614,614,1228,0,0,0,614,614,1228
80,81,ALBANY,1993,,616,616,1232,0,0,0,616,616,1232
81,82,ALBANY,1994,,642,640,1282,0,0,0,642,640,1282
82,83,ALBANY,1995,,636,638,1274,0,0,0,636,638,1274
83,84,ALBANY,1996,,632,633,1265,0,0,0,632,633,1265
84,85,ALBANY,1997,,618,616,1234,0,0,0,618,616,1234
85,86,ALBANY,1998,,614,616,1230,0,0,0,614,616,1230
86,87,ALBANY,1999,,658,658,1316,0,0,0,658,658,1316
87,88,ALBANY,2000,,778,778,1556,0,0,0,778,778,1556
88,89,ALBANY,2001,,679,679,1358,0,0,0,679,679,1358
89,90,ALBANY,2002,,677,676,1353,0,0,0,677,676,1353
90,91,ALBANY,2003,,670,670,1340,0,0,0,670,670,1340
91,92,ALBANY,2004,,686,686,1372,0,0,0,686,686,1372
92,93,ALBANY,2005,,739,738,1477,0,0,0,739,738,1477
93,94,ALBANY,2006,,802,807,1609,0,0,0,802,807,1609
94,95,ALBANY,2007,,862,861,1723,0,0,0,862,861,1723
95,96,ALBANY,2008,,939,937,1876,0,0,0,939,937,1876
96,97,ALBANY,2009,,871,871,1742,0,0,0,871,871,1742
97,98,ALBANY,2010,,894,894,1788,0,0,0,894,894,1788
98,99,ALBANY,2011,,952,951,1903,0,0,0,952,951,1903
99,100,ALBANY,2012,,1000,999,1999,0,0,0,1000,999,1999
100,101,ALBANY,2013,,996,995,1991,0,0,0,996,995,1991
101,102,ALBANY,2014,,990,992,1982,0,0,0,990,992,1982
102,103,ALBANY,2015,,765,764,1529,0,0,0,765,764,1529
103,104,ALBANY,2016,,1110,1112,2222,0,0,0,1110,1112,2222
104,105,ALBANY,2017,,1164,1162,2326,0,0,0,1164,1162,2326
105,106,ALBANY,2018,,1165,1164,2329,0,0,0,1165,1164,2329
106,107,ALBANY,2019,,1171,1171,2342,0,0,0,1171,1171,2342
107,108,ALBANY,2020,,671,671,1342,0,0,0,671,671,1342
108,109,ALBURY,1985,12,5499,5495,10994,0,0,0,5499,5495,10994
109,110,ALBURY,1986,13,5919,5899,11818,0,0,0,5919,5899,11818
110,111,ALBURY,1987,13,5849,5839,11688,0,0,0,5849,5839,11688
111,112,ALBURY,1988,15,5058,5052,10110,0,0,0,5058,5052,10110
112,113,ALBURY,1989,16,3956,3940,7896,0,0,0,3956,3940,7896
113,114,ALBURY,1990,21,3882,3820,7702,0,0,0,3882,3820,7702
114,115,ALBURY,1991,20,4198,4253,8451,0,0,0,4198,4253,8451
115,116,ALBURY,1992,21,4366,4305,8671,0,0,0,4366,4305,8671
116,117,ALBURY,1993,16,5487,5518,11005,0,0,0,5487,5518,11005
117,118,ALBURY,1994,14,6282,6281,12563,0,0,0,6282,6281,12563
118,119,ALBURY,1995,13,6505,6488,12993,0,0,0,6505,6488,12993
119,120,ALBURY,1996,14,6101,6103,12204,0,0,0,6101,6103,12204
120,121,ALBURY,1997,16,5780,5791,11571,0,0,0,5780,5791,11571
121,122,ALBURY,1998,17,5685,5695,11380,0,0,0,5685,5695,11380
122,123,ALBURY,1999,14,5759,5764,11523,0,0,0,5759,5764,11523
123,124,ALBURY,2000,16,6094,6096,12190,0,0,0,6094,6096,12190
124,125,ALBURY,2001,16,5299,5300,10599,0,0,0,5299,5300,10599
125,126,ALBURY,2002,20,3582,3570,7152,0,0,0,3582,3570,7152
126,127,ALBURY,2003,14,4072,4069,8141,0,0,0,4072,4069,8141
127,128,ALBURY,2004,16,4276,4284,8560,0,0,0,4276,4284,8560
128,129,ALBURY,2005,17,4288,4286,8574,0,0,0,4288,4286,8574
129,130,ALBURY,2006,17,4398,4396,8794,0,0,0,4398,4396,8794
130,131,ALBURY,2007,17,4475,4470,8945,0,0,0,4475,4470,8945
131,132,ALBURY,2008,16,4943,4944,9887,0,0,0,4943,4944,9887
132,133,ALBURY,2009,16,4658,4674,9332,0,0,0,4658,4674,9332
133,134,ALBURY,2010,16,4647,4653,9300,0,0,0,4647,4653,9300
134,135,ALBURY,2011,16,4615,4622,9237,0,0,0,4615,4622,9237
135,136,ALBURY,2012,18,4221,4249,8470,0,0,0,4221,4249,8470
136,137,ALBURY,2013,18,4087,4126,8213,0,0,0,4087,4126,8213
137,138,ALBURY,2014,18,3971,3968,7939,0,0,0,3971,3968,7939
138,139,ALBURY,2015,18,3798,3797,7595,0,0,0,3798,3797,7595
139,140,ALBURY,2016,16,4018,3981,7999,0,0,0,4018,3981,7999
140,141,ALBURY,2017,17,4282,4272,8554,0,0,0,4282,4272,8554
141,142,ALBURY,2018,17,3876,3867,7743,0,0,0,3876,3867,7743
