,0,1
0,ADELAIDE,ALBANY
1,ADELAIDE,ALBURY
2,ADELAIDE,ALICE SPRINGS
3,ADELAIDE,ARMIDALE
4,ADELAIDE,AURUKUN
5,ADELAIDE,AYERS ROCK
6,ADELAIDE,BALLINA
7,ADELAIDE,BAMAGA
8,ADELAIDE,BATHURST ISLAND
9,ADELAIDE,BRISBANE
10,ADELAIDE,BROKEN HILL
11,ADELAIDE,BROOME
12,ADELAIDE,BUNDABERG
13,ADELAIDE,BURNIE
14,ADELAIDE,CAIRNS
15,ADELAIDE,CANBERRA
16,ADELAIDE,CARNARVON
17,ADELAIDE,CEDUNA
18,ADELAIDE,CHARLEVILLE
19,ADELAIDE,CHRISTMAS ISLAND
20,ADELAIDE,CLONCURRY
21,ADELAIDE,COCOS ISLAND
22,ADELAIDE,COFFS HARBOUR
23,ADELAIDE,COOKTOWN
24,ADELAIDE,DARWIN
25,ADELAIDE,DEVONPORT
26,ADELAIDE,DUBBO
27,ADELAIDE,EDWARD RIVER
28,ADELAIDE,EMERALD
29,ADELAIDE,ESPERANCE
30,ADELAIDE,ESSENDON FIELDS
31,ADELAIDE,FLINDERS ISLAND
32,ADELAIDE,GERALDTON
33,ADELAIDE,GLADSTONE
34,ADELAIDE,GOLD COAST
35,ADELAIDE,GOVE
36,ADELAIDE,GRIFFITH
37,ADELAIDE,GROOTE EYLANDT
38,ADELAIDE,HAMILTON ISLAND
39,ADELAIDE,HERVEY BAY
40,ADELAIDE,HOBART
41,ADELAIDE,KALGOORLIE
42,ADELAIDE,KARRATHA
43,ADELAIDE,KING ISLAND
44,ADELAIDE,KINGSCOTE
45,ADELAIDE,KOWANYAMA
46,ADELAIDE,KUNUNURRA
47,ADELAIDE,LAUNCESTON
48,ADELAIDE,LEARMONTH
49,ADELAIDE,LOCKHART RIVER
50,ADELAIDE,LONGREACH
51,ADELAIDE,LORD HOWE ISLAND
52,ADELAIDE,MACKAY
53,ADELAIDE,MANINGRIDA
54,ADELAIDE,MCARTHUR RIVER
55,ADELAIDE,MELBOURNE
56,ADELAIDE,MERIMBULA
57,ADELAIDE,MILDURA
58,ADELAIDE,MORANBAH
59,ADELAIDE,MOREE
60,ADELAIDE,MORNINGTON ISLAND
61,ADELAIDE,MOUNT GAMBIER
62,ADELAIDE,MOUNT ISA
63,ADELAIDE,NEWCASTLE
64,ADELAIDE,NEWMAN
65,ADELAIDE,NORFOLK ISLAND
66,ADELAIDE,OLYMPIC DAM
67,ADELAIDE,ORANGE
68,ADELAIDE,PALM ISLAND
69,ADELAIDE,PARABURDOO
70,ADELAIDE,PARKES
71,ADELAIDE,PERTH
72,ADELAIDE,PORT HEDLAND
73,ADELAIDE,PORT LINCOLN
74,ADELAIDE,PORT MACQUARIE
75,ADELAIDE,PROSERPINE
76,ADELAIDE,ROCKHAMPTON
77,ADELAIDE,ROMA
78,ADELAIDE,SUNSHINE COAST
79,ADELAIDE,SYDNEY
80,ADELAIDE,TAMWORTH
81,ADELAIDE,THURSDAY ISLAND
82,ADELAIDE,TOOWOOMBA WELLCAMP
83,ADELAIDE,TOWNSVILLE
84,ADELAIDE,WAGGA WAGGA
85,ADELAIDE,WEIPA
86,ADELAIDE,WHYALLA
87,ADELAIDE,WOLLONGONG
88,ALBANY,ADELAIDE
89,ALBANY,ALBURY
90,ALBANY,ALICE SPRINGS
91,ALBANY,ARMIDALE
92,ALBANY,AURUKUN
93,ALBANY,AYERS ROCK
94,ALBANY,BALLINA
95,ALBANY,BAMAGA
96,ALBANY,BATHURST ISLAND
97,ALBANY,BRISBANE
98,ALBANY,BROKEN HILL
99,ALBANY,BROOME
100,ALBANY,BUNDABERG
101,ALBANY,BURNIE
102,ALBANY,CAIRNS
103,ALBANY,CANBERRA
104,ALBANY,CARNARVON
105,ALBANY,CEDUNA
106,ALBANY,CHARLEVILLE
107,ALBANY,CHRISTMAS ISLAND
108,ALBANY,CLONCURRY
109,ALBANY,COCOS ISLAND
110,ALBANY,COFFS HARBOUR
111,ALBANY,COOKTOWN
112,ALBANY,DARWIN
113,ALBANY,DEVONPORT
114,ALBANY,DUBBO
115,ALBANY,EDWARD RIVER
116,ALBANY,EMERALD
117,ALBANY,ESPERANCE
118,ALBANY,ESSENDON FIELDS
119,ALBANY,FLINDERS ISLAND
120,ALBANY,GERALDTON
121,ALBANY,GLADSTONE
122,ALBANY,GOLD COAST
123,ALBANY,GOVE
124,ALBANY,GRIFFITH
125,ALBANY,GROOTE EYLANDT
126,ALBANY,HAMILTON ISLAND
127,ALBANY,HERVEY BAY
128,ALBANY,HOBART
129,ALBANY,KALGOORLIE
130,ALBANY,KARRATHA
131,ALBANY,KING ISLAND
132,ALBANY,KINGSCOTE
133,ALBANY,KOWANYAMA
134,ALBANY,KUNUNURRA
135,ALBANY,LAUNCESTON
136,ALBANY,LEARMONTH
137,ALBANY,LOCKHART RIVER
138,ALBANY,LONGREACH
139,ALBANY,LORD HOWE ISLAND
140,ALBANY,MACKAY
141,ALBANY,MANINGRIDA
142,ALBANY,MCARTHUR RIVER
143,ALBANY,MELBOURNE
144,ALBANY,MERIMBULA
145,ALBANY,MILDURA
146,ALBANY,MORANBAH
147,ALBANY,MOREE
148,ALBANY,MORNINGTON ISLAND
