,Airport_From,Airport_To
0,SYDNEY,MELBOURNE
1,SYDNEY,BRISBANE
2,SYDNEY,ADELAIDE
3,SYDNEY,PERTH
4,SYDNEY,CAIRNS
5,SYDNEY,CANBERRA
6,SYDNEY,GOLD COAST
7,SYDNEY,TOWNSVILLE
8,SYDNEY,DARWIN
9,SYDNEY,HOBART
10,SYDNEY,LAUNCESTON
11,SYDNEY,NEWCASTLE
12,SYDNEY,MACKAY
13,SYDNEY,ROCKHAMPTON
14,SYDNEY,SUNSHINE COAST
15,SYDNEY,DUBBO
16,SYDNEY,ALBURY
17,SYDNEY,PORT LINCOLN
18,SYDNEY,WAGGA WAGGA
19,SYDNEY,ALICE SPRINGS
20,SYDNEY,MILDURA
21,SYDNEY,THURSDAY ISLAND
22,SYDNEY,KARRATHA
23,SYDNEY,COFFS HARBOUR
24,SYDNEY,KING ISLAND
25,SYDNEY,PALM ISLAND
26,SYDNEY,BROOME
27,SYDNEY,ARMIDALE
28,SYDNEY,TAMWORTH
29,SYDNEY,MOUNT ISA
30,SYDNEY,GLADSTONE
31,SYDNEY,GRIFFITH
32,SYDNEY,ESSENDON FIELDS
33,SYDNEY,EMERALD
34,SYDNEY,PORT HEDLAND
35,SYDNEY,HAMILTON ISLAND
36,SYDNEY,PORT MACQUARIE
37,SYDNEY,BALLINA
38,SYDNEY,NEWMAN
39,SYDNEY,WHYALLA
40,SYDNEY,AYERS ROCK
41,SYDNEY,BURNIE
42,SYDNEY,KALGOORLIE
43,SYDNEY,ORANGE
44,SYDNEY,MOUNT GAMBIER
45,SYDNEY,BUNDABERG
46,SYDNEY,BROKEN HILL
47,SYDNEY,MERIMBULA
48,SYDNEY,TOOWOOMBA WELLCAMP
49,SYDNEY,HERVEY BAY
50,SYDNEY,PROSERPINE
51,SYDNEY,DEVONPORT
52,SYDNEY,BATHURST ISLAND
53,SYDNEY,MORANBAH
54,SYDNEY,PARABURDOO
55,SYDNEY,ALBANY
56,SYDNEY,KINGSCOTE
57,SYDNEY,ROMA
58,SYDNEY,PARKES
59,SYDNEY,KUNUNURRA
60,SYDNEY,OLYMPIC DAM
61,SYDNEY,ESPERANCE
62,SYDNEY,FLINDERS ISLAND
63,SYDNEY,GOVE
64,SYDNEY,LONGREACH
65,SYDNEY,COOKTOWN
66,SYDNEY,GERALDTON
67,SYDNEY,MANINGRIDA
68,SYDNEY,WEIPA
69,SYDNEY,WOLLONGONG
70,SYDNEY,LORD HOWE ISLAND
71,SYDNEY,CEDUNA
72,SYDNEY,CHARLEVILLE
73,SYDNEY,MOREE
74,SYDNEY,LEARMONTH
75,SYDNEY,CARNARVON
76,SYDNEY,KOWANYAMA
77,SYDNEY,GROOTE EYLANDT
78,SYDNEY,CLONCURRY
79,SYDNEY,EDWARD RIVER
80,SYDNEY,BAMAGA
81,SYDNEY,MORNINGTON ISLAND
82,SYDNEY,AURUKUN
83,SYDNEY,LOCKHART RIVER
84,SYDNEY,MCARTHUR RIVER
85,SYDNEY,NORFOLK ISLAND
86,SYDNEY,CHRISTMAS ISLAND
87,SYDNEY,COCOS ISLAND
88,MELBOURNE,SYDNEY
89,MELBOURNE,BRISBANE
90,MELBOURNE,ADELAIDE
91,MELBOURNE,PERTH
92,MELBOURNE,CAIRNS
93,MELBOURNE,CANBERRA
94,MELBOURNE,GOLD COAST
95,MELBOURNE,TOWNSVILLE
96,MELBOURNE,DARWIN
97,MELBOURNE,HOBART
98,MELBOURNE,LAUNCESTON
99,MELBOURNE,NEWCASTLE
100,MELBOURNE,MACKAY
101,MELBOURNE,ROCKHAMPTON
102,MELBOURNE,SUNSHINE COAST
103,MELBOURNE,DUBBO
104,MELBOURNE,ALBURY
105,MELBOURNE,PORT LINCOLN
106,MELBOURNE,WAGGA WAGGA
107,MELBOURNE,ALICE SPRINGS
108,MELBOURNE,MILDURA
109,MELBOURNE,THURSDAY ISLAND
110,MELBOURNE,KARRATHA
111,MELBOURNE,COFFS HARBOUR
112,MELBOURNE,KING ISLAND
113,MELBOURNE,PALM ISLAND
114,MELBOURNE,BROOME
115,MELBOURNE,ARMIDALE
116,MELBOURNE,TAMWORTH
117,MELBOURNE,MOUNT ISA
118,MELBOURNE,GLADSTONE
119,MELBOURNE,GRIFFITH
120,MELBOURNE,ESSENDON FIELDS
121,MELBOURNE,EMERALD
122,MELBOURNE,PORT HEDLAND
123,MELBOURNE,HAMILTON ISLAND
124,MELBOURNE,PORT MACQUARIE
125,MELBOURNE,BALLINA
126,MELBOURNE,NEWMAN
127,MELBOURNE,WHYALLA
128,MELBOURNE,AYERS ROCK
129,MELBOURNE,BURNIE
130,MELBOURNE,KALGOORLIE
131,MELBOURNE,ORANGE
132,MELBOURNE,MOUNT GAMBIER
133,MELBOURNE,BUNDABERG
134,MELBOURNE,BROKEN HILL
135,MELBOURNE,MERIMBULA
136,MELBOURNE,TOOWOOMBA WELLCAMP
137,MELBOURNE,HERVEY BAY
138,MELBOURNE,PROSERPINE
139,MELBOURNE,DEVONPORT
140,MELBOURNE,BATHURST ISLAND
141,MELBOURNE,MORANBAH
142,MELBOURNE,PARABURDOO
143,MELBOURNE,ALBANY
144,MELBOURNE,KINGSCOTE
145,MELBOURNE,ROMA
146,MELBOURNE,PARKES
147,MELBOURNE,KUNUNURRA
148,MELBOURNE,OLYMPIC DAM
149,MELBOURNE,ESPERANCE
150,MELBOURNE,FLINDERS ISLAND
151,MELBOURNE,GOVE
152,MELBOURNE,LONGREACH
153,MELBOURNE,COOKTOWN
