,Airport_From,Airport_To
1,SYDNEY,HOBART
2,MELBOURNE,BRISBANE
3,MELBOURNE,SYDNEY
4,NEWCASTLE,SYDNEY
5,MELBOURNE,SYDNEY
6,PORT LINCOLN,BRISBANE
7,MELBOURNE,BRISBANE
8,SYDNEY,MELBOURNE
10,WHYALLA,CAIRNS
11,ADELAIDE,MELBOURNE
12,GROOTE EYLANDT,BRISBANE
13,ADELAIDE,MELBOURNE
14,MELBOURNE,BRISBANE
16,PERTH,BRISBANE
17,SYDNEY,BRISBANE
18,DARWIN,MACKAY
20,CEDUNA,BRISBANE
22,PERTH,MELBOURNE
23,SYDNEY,KARRATHA
24,GERALDTON,PORT LINCOLN
25,DARWIN,GOLD COAST
27,GOLD COAST,MELBOURNE
28,SYDNEY,DUBBO
29,CANBERRA,MELBOURNE
30,CAIRNS,MELBOURNE
31,CANBERRA,ADELAIDE
32,ADELAIDE,SYDNEY
33,BRISBANE,PERTH
34,KING ISLAND,MELBOURNE
35,SYDNEY,SUNSHINE COAST
36,MELBOURNE,SYDNEY
37,SYDNEY,ARMIDALE
39,ADELAIDE,SYDNEY
40,BRISBANE,LAUNCESTON
41,ADELAIDE,CANBERRA
42,TOWNSVILLE,ADELAIDE
43,ADELAIDE,GOLD COAST
44,MELBOURNE,SYDNEY
45,ADELAIDE,MELBOURNE
46,MELBOURNE,BRISBANE
47,ADELAIDE,BRISBANE
48,MANINGRIDA,KUNUNURRA
50,BRISBANE,SYDNEY
52,BRISBANE,TOOWOOMBA WELLCAMP
53,SYDNEY,ORANGE
54,PORT LINCOLN,SYDNEY
55,ADELAIDE,CAIRNS
56,SYDNEY,MELBOURNE
57,MELBOURNE,HOBART
58,SYDNEY,ADELAIDE
59,CANBERRA,SYDNEY
61,MELBOURNE,SYDNEY
63,GROOTE EYLANDT,ALICE SPRINGS
64,ALBURY,PERTH
65,BRISBANE,BROOME
66,ADELAIDE,PERTH
67,MACKAY,NEWCASTLE
68,BRISBANE,SYDNEY
69,SYDNEY,CANBERRA
70,MELBOURNE,BRISBANE
71,SYDNEY,LONGREACH
72,HOBART,ADELAIDE
73,PERTH,TOWNSVILLE
74,CAIRNS,CANBERRA
75,WAGGA WAGGA,PERTH
76,CAIRNS,MELBOURNE
77,BRISBANE,SYDNEY
78,SYDNEY,BRISBANE
79,GOLD COAST,SYDNEY
81,ADELAIDE,MELBOURNE
82,ADELAIDE,MELBOURNE
83,PORT MACQUARIE,FLINDERS ISLAND
85,SYDNEY,GRIFFITH
86,CAIRNS,ADELAIDE
87,BRISBANE,WOLLONGONG
88,MELBOURNE,CAIRNS
89,CAIRNS,BRISBANE
90,ESSENDON FIELDS,MELBOURNE
91,BRISBANE,PERTH
92,PERTH,SYDNEY
93,ADELAIDE,SYDNEY
94,ADELAIDE,MELBOURNE
95,SYDNEY,CANBERRA
97,SYDNEY,TAMWORTH
98,BRISBANE,ALICE SPRINGS
99,ADELAIDE,MELBOURNE
100,PERTH,MELBOURNE
