,AIPORT,Dom_Acm_Out_Simulated,Dom_Acm_In_Simulated
0,SYDNEY,10079,10079
1,MELBOURNE,7885,7831
2,BRISBANE,6519,6511
3,PERTH,3031,2993
4,ADELAIDE,2986,2977
5,CANBERRA,1694,1580
6,CAIRNS,1680,1699
7,GOLD COAST,1407,1350
8,TOWNSVILLE,1001,933
9,DARWIN,944,921
10,HOBART,790,852
11,LAUNCESTON,614,659
12,NEWCASTLE,594,609
13,MACKAY,449,445
14,ROCKHAMPTON,377,416
15,SUNSHINE COAST,364,381
16,ALBURY,336,331
17,DUBBO,323,310
18,PORT LINCOLN,313,290
19,ALICE SPRINGS,285,272
20,WAGGA WAGGA,266,296
21,KING ISLAND,244,238
22,THURSDAY ISLAND,238,258
23,MILDURA,236,247
24,MOUNT ISA,235,232
25,COFFS HARBOUR,230,225
26,BROOME,219,225
27,PORT HEDLAND,217,189
28,KARRATHA,216,265
29,EMERALD,206,200
30,PALM ISLAND,206,211
31,TAMWORTH,202,207
32,HAMILTON ISLAND,195,209
33,GLADSTONE,195,190
34,ARMIDALE,194,215
35,GRIFFITH,194,216
36,ESSENDON FIELDS,188,203
37,BALLINA,184,182
38,PORT MACQUARIE,180,163
39,BURNIE,177,170
40,WHYALLA,176,165
41,NEWMAN,169,173
42,AYERS ROCK,169,172
43,BUNDABERG,154,165
44,MOUNT GAMBIER,152,139
45,ORANGE,150,165
46,HERVEY BAY,143,128
47,KALGOORLIE,143,183
48,MERIMBULA,141,148
49,BROKEN HILL,137,131
50,TOOWOOMBA WELLCAMP,120,147
51,PROSERPINE,119,130
52,PARABURDOO,109,103
53,BATHURST ISLAND,108,105
54,KINGSCOTE,106,100
55,MORANBAH,97,103
56,ALBANY,97,94
57,DEVONPORT,94,110
58,KUNUNURRA,91,82
59,FLINDERS ISLAND,91,67
60,ESPERANCE,87,75
61,OLYMPIC DAM,84,98
62,LONGREACH,81,108
63,COOKTOWN,80,78
64,PARKES,80,77
65,WEIPA,78,44
66,ROMA,75,103
67,GOVE,72,90
68,WOLLONGONG,70,45
69,MANINGRIDA,69,77
70,CHARLEVILLE,62,64
71,GERALDTON,61,76
72,CEDUNA,57,63
73,CARNARVON,57,58
74,MOREE,53,48
75,LEARMONTH,52,46
76,KOWANYAMA,50,45
77,LORD HOWE ISLAND,49,74
78,CLONCURRY,48,38
79,MORNINGTON ISLAND,45,36
80,EDWARD RIVER,43,53
81,BAMAGA,35,50
82,GROOTE EYLANDT,35,56
83,LOCKHART RIVER,34,26
84,MCARTHUR RIVER,28,27
85,AURUKUN,24,30
86,NORFOLK ISLAND,14,13
87,CHRISTMAS ISLAND,9,7
88,COCOS ISLAND,9,5
