,Unnamed: 0,_id,AIRPORT,Year_Ended_December,Rank,Dom_Acm_In,Dom_Acm_Out,Dom_Acm_Total,Int_Acm_In,Int_Acm_Out,Int_Acm_Total,Acm_In,Acm_Out,Acm_Total,Doc_In_Pct
70,70.0,71.0,ADELAIDE,2019.0,5.0,36911.0,36855.0,73766.0,2711.0,2722.0,5433.0,39622.0,39577.0,79199.0,0.06085250550229571
106,106.0,107.0,ALBANY,2019.0,,1171.0,1171.0,2342.0,0.0,0.0,0.0,1171.0,1171.0,2342.0,0.0019305433053341356
142,142.0,143.0,ALBURY,2019.0,18.0,3876.0,3866.0,7742.0,0.0,0.0,0.0,3876.0,3866.0,7742.0,0.006390081854376695
178,178.0,179.0,ALICE SPRINGS,2019.0,21.0,3257.0,3253.0,6510.0,0.0,0.0,0.0,3257.0,3253.0,6510.0,0.005369581166074534
214,214.0,215.0,ARMIDALE,2019.0,29.0,2515.0,2509.0,5024.0,0.0,0.0,0.0,2515.0,2509.0,5024.0,0.004146299242455466
250,250.0,251.0,AURUKUN,2019.0,,354.0,354.0,708.0,0.0,0.0,0.0,354.0,354.0,708.0,0.0005836142870096362
286,286.0,287.0,AYERS ROCK,2019.0,,2053.0,2047.0,4100.0,0.0,0.0,0.0,2053.0,2047.0,4100.0,0.003384633139070009
322,322.0,323.0,BALLINA,2019.0,,2250.0,2237.0,4487.0,0.0,0.0,0.0,2250.0,2237.0,4487.0,0.0037094128411629423
358,358.0,359.0,BAMAGA,2019.0,,519.0,519.0,1038.0,0.0,0.0,0.0,519.0,519.0,1038.0,0.0008556378953615854
394,394.0,395.0,BATHURST ISLAND,2019.0,,1266.0,1266.0,2532.0,0.0,0.0,0.0,1266.0,1266.0,2532.0,0.002087162958627682
430,430.0,431.0,BRISBANE,2019.0,3.0,79752.0,80182.0,159934.0,17588.0,17648.0,35236.0,97340.0,97830.0,195170.0,0.13148137462596754
466,466.0,467.0,BROKEN HILL,2019.0,,1752.0,1749.0,3501.0,0.0,0.0,0.0,1752.0,1749.0,3501.0,0.0028883961323188777
502,502.0,503.0,BROOME,2019.0,28.0,2544.0,2539.0,5083.0,0.0,0.0,0.0,2544.0,2539.0,5083.0,0.004194109452408233
538,538.0,539.0,BUNDABERG,2019.0,,1789.0,1786.0,3575.0,0.0,0.0,0.0,1789.0,1786.0,3575.0,0.0029493953657068906
574,574.0,575.0,BURNIE,2019.0,,2045.0,2044.0,4089.0,0.0,0.0,0.0,2045.0,2044.0,4089.0,0.003371444115634763
610,610.0,611.0,CAIRNS,2019.0,6.0,20343.0,20447.0,40790.0,2443.0,2448.0,4891.0,22786.0,22895.0,45681.0,0.03353803796790122
646,646.0,647.0,CANBERRA,2019.0,8.0,19342.0,19282.0,38624.0,729.0,728.0,1457.0,20071.0,20010.0,40081.0,0.031887761410566054
682,682.0,683.0,CARNARVON,2019.0,,622.0,616.0,1238.0,0.0,0.0,0.0,622.0,616.0,1238.0,0.0010254465720903778
718,718.0,719.0,CEDUNA,2019.0,,727.0,727.0,1454.0,0.0,0.0,0.0,727.0,727.0,1454.0,0.0011985525046779818
754,754.0,755.0,CHARLEVILLE,2019.0,,670.0,670.0,1340.0,0.0,0.0,0.0,670.0,670.0,1340.0,0.0011045807127018539
790,790.0,791.0,CHRISTMAS ISLAND,2019.0,,105.0,105.0,210.0,0.0,0.0,0.0,105.0,105.0,210.0,0.00017310593258760396
826,826.0,827.0,CLONCURRY,2019.0,,581.0,623.0,1204.0,0.0,0.0,0.0,581.0,623.0,1204.0,0.000957852826984742
862,862.0,863.0,COCOS ISLAND,2019.0,,104.0,105.0,209.0,0.0,0.0,0.0,104.0,105.0,209.0,0.00017145730465819821
898,898.0,899.0,COFFS HARBOUR,2019.0,25.0,2910.0,2902.0,5812.0,0.0,0.0,0.0,2910.0,2902.0,5812.0,0.004797507274570739
934,934.0,935.0,COOKTOWN,2019.0,,928.0,929.0,1857.0,0.0,0.0,0.0,928.0,929.0,1857.0,0.001529926718488538
