,iso_country,coords,name,type,municipality,coords_lon,coords_lat,latlong,display_str
10515,AU,"128.9245, -16.514",Argyle Downs Airport,small_airport,ARGYLE_DOWNS,128.9245,-16.514,"[-16.514, 128.9245]",Argyle Downs Airport | ARGYLE_DOWNS | small_airport
10741,AU,"132.2748, -25.0325",Angus Downs Airport,small_airport,ANGUS_DOWNS_STATION,132.2748,-25.0325,"[-25.0325, 132.2748]",Angus Downs Airport | ANGUS_DOWNS_STATION | small_airport
11574,AU,"120.14700317382812, -33.90850067138672",Hopetoun Airfield,closed,HOPETOUN,120.14700317382812,-33.90850067138672,"[-33.90850067138672, 120.14700317382812]",Hopetoun Airfield | HOPETOUN | closed
11575,AU,"116.074996948, -32.6926994324",Dwellingup Airstrip,small_airport,DWELLINGUP,116.074996948,-32.6926994324,"[-32.6926994324, 116.074996948]",Dwellingup Airstrip | DWELLINGUP | small_airport
11576,AU,"124.584999, -27.155199",Tjukayirla Roadhouse Airstrip,small_airport,,124.584999,-27.155199,"[-27.155199, 124.584999]",Tjukayirla Roadhouse Airstrip |  | small_airport
11577,AU,"115.867866516, -31.9612293243",Langley Park Airstrip,small_airport,PERTH,115.867866516,-31.9612293243,"[-31.9612293243, 115.867866516]",Langley Park Airstrip | PERTH | small_airport
11578,AU,"121.958000183, -33.793701171900004",Myrup fly in estate Airport,small_airport,,121.958000183,-33.793701171900004,"[-33.793701171900004, 121.958000183]",Myrup fly in estate Airport |  | small_airport
11579,AU,"117.865447998, -32.9418449402",Harrismith Airport,small_airport,HARRISMITH,117.865447998,-32.9418449402,"[-32.9418449402, 117.865447998]",Harrismith Airport | HARRISMITH | small_airport
11580,AU,"118.168998718, -32.6721992493",Kulin Airport,small_airport,,118.168998718,-32.6721992493,"[-32.6721992493, 118.168998718]",Kulin Airport |  | small_airport
11581,AU,"136.860992432, -35.370700836199994",Althorpe Lighthouse Airstrip,small_airport,ALTHORPE_ISLANDS,136.860992432,-35.370700836199994,"[-35.370700836199994, 136.860992432]",Althorpe Lighthouse Airstrip | ALTHORPE_ISLANDS | small_airport
11582,AU,"115.885002136, -32.5803985596",Pinjarra North Airstrip,small_airport,PINJARRA,115.885002136,-32.5803985596,"[-32.5803985596, 115.885002136]",Pinjarra North Airstrip | PINJARRA | small_airport
11583,AU,"115.881745219, -32.6665196035",Pinjarra Skydiving Airstrip,small_airport,PINJARRA,115.881745219,-32.6665196035,"[-32.6665196035, 115.881745219]",Pinjarra Skydiving Airstrip | PINJARRA | small_airport
11584,AU,"115.789482594, -32.7874909969",Wheeler Field,small_airport,,115.789482594,-32.7874909969,"[-32.7874909969, 115.789482594]",Wheeler Field |  | small_airport
11585,AU,"115.670883179, -32.7909355164",Lake Clifton Airstrip,small_airport,LAKE_CLIFTON,115.670883179,-32.7909355164,"[-32.7909355164, 115.670883179]",Lake Clifton Airstrip | LAKE_CLIFTON | small_airport
11586,AU,"115.63999938964844, -32.849998474121094",Between Lakes Private Airstrip,small_airport,,115.63999938964844,-32.849998474121094,"[-32.849998474121094, 115.63999938964844]",Between Lakes Private Airstrip |  | small_airport
11587,AU,"113.735583333, -28.43785",Abrolhos East Wallabi Island Airport,small_airport,ABROLHOS,113.735583333,-28.43785,"[-28.43785, 113.735583333]",Abrolhos East Wallabi Island Airport | ABROLHOS | small_airport
11588,AU,"119.331947327, -34.380561828599994",Bremer Bay Airport,small_airport,BREMER_BAY,119.331947327,-34.380561828599994,"[-34.380561828599994, 119.331947327]",Bremer Bay Airport | BREMER_BAY | small_airport
11589,AU,"150.811477661, -31.9711685181",Middlebrook Station Scone Airstrip,small_airport,MIDDLEBROOK_STATION,150.811477661,-31.9711685181,"[-31.9711685181, 150.811477661]",Middlebrook Station Scone Airstrip | MIDDLEBROOK_STATION | small_airport
11590,AU,"118.216148376, -34.2250022888",Lily Dutch Windmill Airstrip,small_airport,,118.216148376,-34.2250022888,"[-34.2250022888, 118.216148376]",Lily Dutch Windmill Airstrip |  | small_airport
11591,AU,"115.700996399, -33.0187988281",Preston Field - Blair Howe,small_airport,,115.700996399,-33.0187988281,"[-33.0187988281, 115.700996399]",Preston Field - Blair Howe |  | small_airport
11592,AU,"147.7194061279297, -41.781700134277344",Avoca Airport,small_airport,AVOCA,147.7194061279297,-41.781700134277344,"[-41.781700134277344, 147.7194061279297]",Avoca Airport | AVOCA | small_airport
11593,AU,"118.08499908447266, -33.17490005493164",Kukerin,small_airport,KUKERIN_WA,118.08499908447266,-33.17490005493164,"[-33.17490005493164, 118.08499908447266]",Kukerin | KUKERIN_WA | small_airport
11594,AU,"118.468002, -22.487101",Karijini National Park,small_airport,,118.468002,-22.487101,"[-22.487101, 118.468002]",Karijini National Park |  | small_airport
11595,AU,"113.80522918701172, -23.10602378845215",Cardabia Station Airstrip,small_airport,INDIGENOUS_LAND_CORPORATION,113.80522918701172,-23.10602378845215,"[-23.10602378845215, 113.80522918701172]",Cardabia Station Airstrip | INDIGENOUS_LAND_CORPORATION | small_airport
11596,AU,"147.44583129882812, -42.16777801513672",Woodbury Airfield,small_airport,,147.44583129882812,-42.16777801513672,"[-42.16777801513672, 147.44583129882812]",Woodbury Airfield |  | small_airport
11597,AU,"142.26422119140625, -38.36196517944336",Port Fairy,small_airport,,142.26422119140625,-38.36196517944336,"[-38.36196517944336, 142.26422119140625]",Port Fairy |  | small_airport
