,Unnamed: 0,_id,AIRPORT,Year_Ended_December,Rank,Dom_Acm_In,Dom_Acm_Out,Dom_Acm_Total,Int_Acm_In,Int_Acm_Out,Int_Acm_Total,Acm_In,Acm_Out,Acm_Total,Doc_In_Pct,Doc_Out_Pct
70,70,71,ADELAIDE,2019,5.0,36911,36855,73766,2711,2722,5433,39622,39577,79199,0.06085250550229571,0.060800176849245914
106,106,107,ALBANY,2019,,1171,1171,2342,0,0,0,1171,1171,2342,0.0019305433053341356,0.0019318140575353946
142,142,143,ALBURY,2019,18.0,3876,3866,7742,0,0,0,3876,3866,7742,0.006390081854376695,0.006377790902162114
178,178,179,ALICE SPRINGS,2019,21.0,3257,3253,6510,0,0,0,3257,3253,6510,0.005369581166074534,0.00536651676273496
214,214,215,ARMIDALE,2019,29.0,2515,2509,5024,0,0,0,2515,2509,5024,0.004146299242455466,0.0041391302052573055
250,250,251,AURUKUN,2019,,354,354,708,0,0,0,354,354,708,0.0005836142870096362,0.0005839984426708196
286,286,287,AYERS ROCK,2019,,2053,2047,4100,0,0,0,2053,2047,4100,0.003384633139070009,0.0033769627461784396
322,322,323,BALLINA,2019,,2250,2237,4487,0,0,0,2250,2237,4487,0.0037094128411629423,0.0036904082380074107
358,358,359,BAMAGA,2019,,519,519,1038,0,0,0,519,519,1038,0.0008556378953615854,0.0008562011066275575
394,394,395,BATHURST ISLAND,2019,,1266,1266,2532,0,0,0,1266,1266,2532,0.002087162958627682,0.00208853680344988
430,430,431,BRISBANE,2019,3.0,79752,80182,159934,17588,17648,35236,97340,97830,195170,0.13148137462596754,0.13227729697805551
466,466,467,BROKEN HILL,2019,,1752,1749,3501,0,0,0,1752,1749,3501,0.0028883961323188777,0.002885348237941422
502,502,503,BROOME,2019,28.0,2544,2539,5083,0,0,0,2544,2539,5083,0.004194109452408233,0.004188621598703986
538,538,539,BUNDABERG,2019,,1789,1786,3575,0,0,0,1789,1786,3575,0.0029493953657068906,0.0029463876231923267
574,574,575,BURNIE,2019,,2045,2044,4089,0,0,0,2045,2044,4089,0.003371444115634763,0.0033720136068337717
610,610,611,CAIRNS,2019,6.0,20343,20447,40790,2443,2448,4891,22786,22895,45681,0.03353803796790122,0.03373168406014194
646,646,647,CANBERRA,2019,8.0,19342,19282,38624,729,728,1457,20071,20010,40081,0.031887761410566054,0.031809768281295885
682,682,683,CARNARVON,2019,,622,616,1238,0,0,0,622,616,1238,0.0010254465720903778,0.0010162232787718215
718,718,719,CEDUNA,2019,,727,727,1454,0,0,0,727,727,1454,0.0011985525046779818,0.0011993414345245362
754,754,755,CHARLEVILLE,2019,,670,670,1340,0,0,0,670,670,1340,0.0011045807127018539,0.001105307786975845
790,790,791,CHRISTMAS ISLAND,2019,,105,105,210,0,0,0,105,105,210,0.00017310593258760396,0.00017321987706337867
826,826,827,CLONCURRY,2019,,581,623,1204,0,0,0,581,623,1204,0.000957852826984742,0.0010277712705760468
862,862,863,COCOS ISLAND,2019,,104,105,209,0,0,0,104,105,209,0.00017145730465819821,0.00017321987706337867
898,898,899,COFFS HARBOUR,2019,25.0,2910,2902,5812,0,0,0,2910,2902,5812,0.004797507274570739,0.004787467459408809
934,934,935,COOKTOWN,2019,,928,929,1857,0,0,0,928,929,1857,0.001529926718488538,0.001532583483732179
970,970,971,DARWIN,2019,9.0,11707,11534,23241,1055,1054,2109,12762,12588,25350,0.01930048716955314,0.019027791067133426
1006,1006,1007,DEVONPORT,2019,,1346,1344,2690,0,0,0,1346,1344,2690,0.002219053192980142,0.002217214426411247
1042,1042,1043,DUBBO,2019,17.0,3989,3911,7900,0,0,0,3989,3911,7900,0.006576376810399545,0.006452027992332133
1078,1078,1079,EDWARD RIVER,2019,,549,549,1098,0,0,0,549,549,1098,0.0009050967332437579,0.000905692500074237
1114,1114,1115,EMERALD,2019,,2408,2406,4814,0,0,0,2408,2406,4814,0.003969896054009051,0.003969209754423705
1150,1150,1151,ESPERANCE,2019,,963,963,1926,0,0,0,963,963,1926,0.0015876286960177393,0.001588673729638416
1186,1186,1187,ESSENDON FIELDS,2019,,2482,2362,4844,0,0,0,2482,2362,4844,0.004091894520785077,0.003896622377368576
1222,1222,1223,FLINDERS ISLAND,2019,,957,957,1914,0,0,0,957,957,1914,0.0015777369284413047,0.0015787754509490799
1258,1258,1259,GERALDTON,2019,,858,856,1714,0,0,0,858,856,1714,0.0014145227634301352,0.0014121544263452585
1294,1294,1295,GLADSTONE,2019,,2472,2469,4941,0,0,0,2472,2469,4941,0.004075408241491019,0.004073141680661733
1330,1330,1331,GOLD COAST,2019,7.0,17745,17719,35464,2523,2526,5049,20268,20245,40513,0.02925490260730507,0.029231266682723873
1366,1366,1367,GOVE,2019,,956,955,1911,0,0,0,956,955,1911,0.001576088300511899,0.0015754760247193014
1402,1402,1403,GRIFFITH,2019,,2556,2289,4845,0,0,0,2556,2289,4845,0.004213892987561103,0.003776193319981655
1438,1438,1439,GROOTE EYLANDT,2019,,672,542,1214,0,0,0,672,542,1214,0.0011078779685606654,0.0008941445082700118
1474,1474,1475,HAMILTON ISLAND,2019,,2368,2363,4731,0,0,0,2368,2363,4731,0.0039039509368328207,0.003898272090483465
1510,1510,1511,HERVEY BAY,2019,,1483,1483,2966,0,0,0,1483,1483,2966,0.0024449152193087302,0.0024465245493808627
1546,1546,1547,HOBART,2019,11.0,10156,10112,20268,0,0,0,10156,10112,20268,0.01674346525104482,0.01668189901776081
1582,1582,1583,KALGOORLIE,2019,,2023,2011,4034,0,0,0,2023,2011,4034,0.0033351743011878366,0.003317573074042424
1618,1618,1619,KARRATHA,2019,24.0,2996,2980,5976,0,0,0,2996,2980,5976,0.0049392892764996334,0.004916145082370176
1654,1654,1655,KING ISLAND,2019,26.0,2795,2795,5590,0,0,0,2795,2795,5590,0.004607915062689077,0.004610948156115652
1690,1690,1691,KINGSCOTE,2019,,1139,1139,2278,0,0,0,1139,1139,2278,0.0018777872115931515,0.0018790232378589364
1726,1726,1727,KOWANYAMA,2019,,613,609,1222,0,0,0,613,609,1222,0.001010608920725726,0.0010046752869675964
1762,1762,1763,KUNUNURRA,2019,,1064,1065,2129,0,0,0,1064,1065,2129,0.0017541401168877202,0.0017569444673571266
1798,1798,1799,LAUNCESTON,2019,12.0,7858,7796,15654,0,0,0,7858,7796,15654,0.0129549182692704,0.012861163443677144
1834,1834,1835,LEARMONTH,2019,,633,633,1266,0,0,0,633,633,1266,0.001043581479313841,0.00104426840172494
