,Airport_From,Airport_To
0,SYDNEY,MELBOURNE
1,SYDNEY,BRISBANE
2,SYDNEY,ADELAIDE
3,SYDNEY,PERTH
4,SYDNEY,CAIRNS
5,SYDNEY,CANBERRA
6,SYDNEY,GOLD_COAST
7,SYDNEY,TOWNSVILLE
8,SYDNEY,DARWIN
9,SYDNEY,HOBART
10,SYDNEY,LAUNCESTON
11,SYDNEY,NEWCASTLE
12,SYDNEY,MACKAY
13,SYDNEY,ROCKHAMPTON
14,SYDNEY,SUNSHINE_COAST
15,SYDNEY,DUBBO
16,SYDNEY,ALBURY
17,SYDNEY,PORT_LINCOLN
18,SYDNEY,WAGGA_WAGGA
19,SYDNEY,ALICE_SPRINGS
20,SYDNEY,MILDURA
21,SYDNEY,THURSDAY_ISLAND
22,SYDNEY,KARRATHA
23,SYDNEY,COFFS_HARBOUR
24,SYDNEY,KING_ISLAND
25,SYDNEY,PALM_ISLAND
26,SYDNEY,BROOME
27,SYDNEY,ARMIDALE
28,SYDNEY,TAMWORTH
29,SYDNEY,MOUNT_ISA
30,SYDNEY,GLADSTONE
31,SYDNEY,GRIFFITH
32,SYDNEY,ESSENDON_FIELDS
33,SYDNEY,EMERALD
34,SYDNEY,PORT_HEDLAND
35,SYDNEY,HAMILTON_ISLAND
36,SYDNEY,PORT_MACQUARIE
37,SYDNEY,BALLINA
38,SYDNEY,NEWMAN
39,SYDNEY,WHYALLA
40,SYDNEY,AYERS_ROCK
41,SYDNEY,BURNIE
42,SYDNEY,KALGOORLIE
43,SYDNEY,ORANGE
44,SYDNEY,MOUNT_GAMBIER
45,SYDNEY,BUNDABERG
46,SYDNEY,BROKEN_HILL
47,SYDNEY,MERIMBULA
48,SYDNEY,TOOWOOMBA_WELLCAMP
49,SYDNEY,HERVEY_BAY
50,SYDNEY,PROSERPINE
51,SYDNEY,DEVONPORT
52,SYDNEY,BATHURST_ISLAND
53,SYDNEY,MORANBAH
54,SYDNEY,PARABURDOO
55,SYDNEY,ALBANY
56,SYDNEY,KINGSCOTE
57,SYDNEY,ROMA
58,SYDNEY,PARKES
59,SYDNEY,KUNUNURRA
60,SYDNEY,OLYMPIC_DAM
61,SYDNEY,ESPERANCE
62,SYDNEY,FLINDERS_ISLAND
63,SYDNEY,GOVE
64,SYDNEY,LONGREACH
65,SYDNEY,COOKTOWN
66,SYDNEY,GERALDTON
67,SYDNEY,MANINGRIDA
68,SYDNEY,WEIPA
69,SYDNEY,WOLLONGONG
70,SYDNEY,LORD_HOWE_ISLAND
71,SYDNEY,CEDUNA
72,SYDNEY,CHARLEVILLE
73,SYDNEY,MOREE
74,SYDNEY,LEARMONTH
75,SYDNEY,CARNARVON
76,SYDNEY,KOWANYAMA
77,SYDNEY,GROOTE_EYLANDT
78,SYDNEY,CLONCURRY
79,SYDNEY,EDWARD_RIVER
80,SYDNEY,BAMAGA
81,SYDNEY,MORNINGTON_ISLAND
82,SYDNEY,AURUKUN
83,SYDNEY,LOCKHART_RIVER
84,SYDNEY,MCARTHUR_RIVER
85,SYDNEY,NORFOLK_ISLAND
86,SYDNEY,CHRISTMAS_ISLAND
87,SYDNEY,COCOS_ISLAND
88,MELBOURNE,SYDNEY
89,MELBOURNE,BRISBANE
90,MELBOURNE,ADELAIDE
91,MELBOURNE,PERTH
92,MELBOURNE,CAIRNS
93,MELBOURNE,CANBERRA
94,MELBOURNE,GOLD_COAST
95,MELBOURNE,TOWNSVILLE
96,MELBOURNE,DARWIN
97,MELBOURNE,HOBART
98,MELBOURNE,LAUNCESTON
99,MELBOURNE,NEWCASTLE
100,MELBOURNE,MACKAY
101,MELBOURNE,ROCKHAMPTON
102,MELBOURNE,SUNSHINE_COAST
103,MELBOURNE,DUBBO
104,MELBOURNE,ALBURY
105,MELBOURNE,PORT_LINCOLN
106,MELBOURNE,WAGGA_WAGGA
107,MELBOURNE,ALICE_SPRINGS
108,MELBOURNE,MILDURA
109,MELBOURNE,THURSDAY_ISLAND
110,MELBOURNE,KARRATHA
111,MELBOURNE,COFFS_HARBOUR
112,MELBOURNE,KING_ISLAND
113,MELBOURNE,PALM_ISLAND
114,MELBOURNE,BROOME
115,MELBOURNE,ARMIDALE
116,MELBOURNE,TAMWORTH
117,MELBOURNE,MOUNT_ISA
118,MELBOURNE,GLADSTONE
119,MELBOURNE,GRIFFITH
120,MELBOURNE,ESSENDON_FIELDS
121,MELBOURNE,EMERALD
122,MELBOURNE,PORT_HEDLAND
123,MELBOURNE,HAMILTON_ISLAND
124,MELBOURNE,PORT_MACQUARIE
125,MELBOURNE,BALLINA
126,MELBOURNE,NEWMAN
127,MELBOURNE,WHYALLA
128,MELBOURNE,AYERS_ROCK
129,MELBOURNE,BURNIE
130,MELBOURNE,KALGOORLIE
131,MELBOURNE,ORANGE
132,MELBOURNE,MOUNT_GAMBIER
133,MELBOURNE,BUNDABERG
134,MELBOURNE,BROKEN_HILL
135,MELBOURNE,MERIMBULA
136,MELBOURNE,TOOWOOMBA_WELLCAMP
137,MELBOURNE,HERVEY_BAY
138,MELBOURNE,PROSERPINE
139,MELBOURNE,DEVONPORT
140,MELBOURNE,BATHURST_ISLAND
141,MELBOURNE,MORANBAH
142,MELBOURNE,PARABURDOO
143,MELBOURNE,ALBANY
144,MELBOURNE,KINGSCOTE
145,MELBOURNE,ROMA
146,MELBOURNE,PARKES
147,MELBOURNE,KUNUNURRA
148,MELBOURNE,OLYMPIC_DAM
149,MELBOURNE,ESPERANCE
150,MELBOURNE,FLINDERS_ISLAND
