,obj_from,obj_to,trip_start,location_from,location_to,distance_kms,trip_end,trip_obj,trip_code
0,<scheduling.Location.Location object at 0x000001CE220101C0>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-01 02:00:00,BRISBANE,MELBOURNE,1376.6543043929948,2019-01-01 04:00:00,<scheduling.Trip.Trip object at 0x000001CE22010E80>,BRI|MEL
1,<scheduling.Location.Location object at 0x000001CE24685760>,<scheduling.Location.Location object at 0x000001CE24685820>,2019-01-01 04:30:00,KING_ISLAND,BROOME,3201.3350683886633,2019-01-01 09:30:00,<scheduling.Trip.Trip object at 0x000001CE246936A0>,KIN|BRO
2,<scheduling.Location.Location object at 0x000001CE220101C0>,<scheduling.Location.Location object at 0x000001CE24685D00>,2019-01-01 10:30:00,BRISBANE,WHYALLA,1615.1299813742332,2019-01-01 13:00:00,<scheduling.Trip.Trip object at 0x000001CE24693640>,BRI|WHY
3,<scheduling.Location.Location object at 0x000001CE24685040>,<scheduling.Location.Location object at 0x000001CE246855E0>,2019-01-01 23:30:00,CANBERRA,MILDURA,657.4133999974337,2019-01-02 00:30:00,<scheduling.Trip.Trip object at 0x000001CE24693100>,CAN|MIL
4,<scheduling.Location.Location object at 0x000001CE220108E0>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-02 19:00:00,PERTH,MELBOURNE,2727.6686418350764,2019-01-02 23:15:00,<scheduling.Trip.Trip object at 0x000001CE246936D0>,PER|MEL
5,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-03 09:30:00,SYDNEY,BRISBANE,699.725356900864,2019-01-03 10:30:00,<scheduling.Trip.Trip object at 0x000001CE24693130>,SYD|BRI
6,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-03 16:30:00,SYDNEY,BRISBANE,699.725356900864,2019-01-03 17:30:00,<scheduling.Trip.Trip object at 0x000001CE24693700>,SYD|BRI
7,<scheduling.Location.Location object at 0x000001CE24685340>,<scheduling.Location.Location object at 0x000001CE24685040>,2019-01-03 18:00:00,ROCKHAMPTON,CANBERRA,1326.1687730988504,2019-01-03 20:00:00,<scheduling.Trip.Trip object at 0x000001CE24693730>,ROC|CAN
8,<scheduling.Location.Location object at 0x000001CE22010280>,<scheduling.Location.Location object at 0x000001CE24683A60>,2019-01-03 20:30:00,CAIRNS,LEARMONTH,3368.769447478721,2019-01-04 01:45:00,<scheduling.Trip.Trip object at 0x000001CE246937C0>,CAI|LEA
9,<scheduling.Location.Location object at 0x000001CE22010280>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-04 10:30:00,CAIRNS,MELBOURNE,2323.889342902348,2019-01-04 14:00:00,<scheduling.Trip.Trip object at 0x000001CE246939A0>,CAI|MEL
10,<scheduling.Location.Location object at 0x000001CE24685100>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-04 11:00:00,TOWNSVILLE,MELBOURNE,2067.960987123366,2019-01-04 14:15:00,<scheduling.Trip.Trip object at 0x000001CE24693A90>,TOW|MEL
11,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE220108E0>,2019-01-04 12:00:00,SYDNEY,PERTH,3310.5695347659,2019-01-04 17:00:00,<scheduling.Trip.Trip object at 0x000001CE24693910>,SYD|PER
12,<scheduling.Location.Location object at 0x000001CE24685E20>,<scheduling.Location.Location object at 0x000001CE22010970>,2019-01-04 12:30:00,KALGOORLIE,ADELAIDE,1660.2451342802235,2019-01-04 15:00:00,<scheduling.Trip.Trip object at 0x000001CE24693AF0>,KAL|ADE
13,<scheduling.Location.Location object at 0x000001CE246850A0>,<scheduling.Location.Location object at 0x000001CE24685040>,2019-01-04 22:30:00,GOLD_COAST,CANBERRA,948.0483027348101,2019-01-05 00:00:00,<scheduling.Trip.Trip object at 0x000001CE24693460>,GOL|CAN
14,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-06 04:00:00,MELBOURNE,BRISBANE,1376.6543043929948,2019-01-06 06:00:00,<scheduling.Trip.Trip object at 0x000001CE24693E20>,MEL|BRI
15,<scheduling.Location.Location object at 0x000001CE24685100>,<scheduling.Location.Location object at 0x000001CE22010970>,2019-01-06 13:30:00,TOWNSVILLE,ADELAIDE,1919.0431929584638,2019-01-06 16:30:00,<scheduling.Trip.Trip object at 0x000001CE24693FA0>,TOW|ADE
16,<scheduling.Location.Location object at 0x000001CE22010970>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-01-06 19:30:00,ADELAIDE,SYDNEY,1186.8780338759996,2019-01-06 21:15:00,<scheduling.Trip.Trip object at 0x000001CE246937F0>,ADE|SYD
17,<scheduling.Location.Location object at 0x000001CE220108E0>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-07 09:00:00,PERTH,MELBOURNE,2727.6686418350764,2019-01-07 13:15:00,<scheduling.Trip.Trip object at 0x000001CE23123130>,PER|MEL
18,<scheduling.Location.Location object at 0x000001CE246855E0>,<scheduling.Location.Location object at 0x000001CE24685160>,2019-01-08 05:00:00,MILDURA,DARWIN,2669.5407906133023,2019-01-08 09:00:00,<scheduling.Trip.Trip object at 0x000001CE23123070>,MIL|DAR
19,<scheduling.Location.Location object at 0x000001CE24685040>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-01-08 23:00:00,CANBERRA,SYDNEY,310.0856181408882,2019-01-08 23:30:00,<scheduling.Trip.Trip object at 0x000001CE231230D0>,CAN|SYD
20,<scheduling.Location.Location object at 0x000001CE220101C0>,<scheduling.Location.Location object at 0x000001CE24685B20>,2019-01-09 01:00:00,BRISBANE,PORT_HEDLAND,3577.084904034143,2019-01-09 06:30:00,<scheduling.Trip.Trip object at 0x000001CE23123040>,BRI|POR
21,<scheduling.Location.Location object at 0x000001CE22010970>,<scheduling.Location.Location object at 0x000001CE220108E0>,2019-01-09 03:00:00,ADELAIDE,PERTH,2128.16939135955,2019-01-09 06:15:00,<scheduling.Trip.Trip object at 0x000001CE23123100>,ADE|PER
22,<scheduling.Location.Location object at 0x000001CE22010280>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-01-09 12:30:00,CAIRNS,SYDNEY,1932.4145228237176,2019-01-09 15:30:00,<scheduling.Trip.Trip object at 0x000001CE23123190>,CAI|SYD
