,Airport,Year_Ended_December,Dom_Acm_In,Dom_Acm_Out,Dom_Acm_Total,Dom_in_Pct,Dom_out_Pct,Dom_moves_per_day,Rank,coords_lat,coords_lon
0,SYDNEY,2019,121019,121257,242276,0.1995153033887547,0.20003926317213436,663.7698630136987,1.0,-33.5871,151.3234
1,MELBOURNE,2019,95355,95688,191043,0.15720491620848548,0.15785774853752932,523.4054794520548,2.0,-37.84526,144.9813
2,BRISBANE,2019,79752,80182,159934,0.13148137462596754,0.13227729697805551,438.17534246575343,3.0,-27.44993,153.02759
3,ADELAIDE,2019,36911,36855,73766,0.06085250550229571,0.060800176849245914,202.0986301369863,4.0,-34.945,138.531006
4,PERTH,2019,35369,35332,70701,0.05831032123515204,0.058287663775269484,193.7013698630137,5.0,-31.9612293243,115.867866516
5,CAIRNS,2019,20343,20447,40790,0.03353803796790122,0.03373168406014194,111.75342465753425,6.0,-16.885799408,145.755004883
6,CANBERRA,2019,19342,19282,38624,0.031887761410566054,0.031809768281295885,105.81917808219178,7.0,-35.670667,149.068833
7,GOLD_COAST,2019,17745,17719,35464,0.02925490260730507,0.029231266682723873,97.16164383561645,8.0,-27.97,153.427
8,TOWNSVILLE,2019,12002,12055,24057,0.019786832408727837,0.019887291599990763,65.90958904109588,9.0,-19.252500534057617,146.76499938964844
9,DARWIN,2019,11707,11534,23241,0.01930048716955314,0.019027791067133426,63.673972602739724,10.0,-12.41469955444336,130.8769989013672
10,HOBART,2019,10156,10112,20268,0.01674346525104482,0.01668189901776081,55.52876712328767,11.0,-42.836101532,147.509994507
11,LAUNCESTON,2019,7858,7796,15654,0.0129549182692704,0.012861163443677144,42.88767123287671,12.0,-41.54529953,147.214004517
12,NEWCASTLE,2019,7114,7111,14225,0.01172833908979252,0.01173110995997796,38.97260273972603,13.0,-32.87909,151.72803
13,MACKAY,2019,5567,5561,11128,0.009177911683001822,0.009174054631899513,30.487671232876714,14.0,-21.171699523900003,149.179992676
14,ROCKHAMPTON,2019,4713,4658,9371,0.007769983431289309,0.007684363689154456,25.673972602739727,15.0,-23.8758,151.3718
15,SUNSHINE_COAST,2019,4409,4399,8808,0.007268800540749961,0.007257087992398122,24.13150684931507,16.0,-26.6033,153.091003
16,DUBBO,2019,3989,3911,7900,0.006576376810399545,0.006452027992332133,21.643835616438356,17.0,-32.2167015076,148.574996948
17,ALBURY,2019,3876,3866,7742,0.006390081854376695,0.006377790902162114,21.21095890410959,18.0,-36.06779861450195,146.95799255371094
18,PORT_LINCOLN,2019,3715,3711,7426,0.006124652757742369,0.00612208536935427,20.345205479452055,19.0,-34.6053009033,135.880004883
19,WAGGA_WAGGA,2019,3398,3398,6796,0.005602037704120746,0.005605725164393912,18.61917808219178,20.0,-35.1652984619,147.466003418
20,ALICE_SPRINGS,2019,3257,3253,6510,0.005369581166074534,0.00536651676273496,17.835616438356166,21.0,-23.806699752807617,133.90199279785156
21,MILDURA,2019,3155,3150,6305,0.005201421117275147,0.00519659631190136,17.273972602739725,22.0,-34.229198455799995,142.085998535
22,HORN_ISLAND,2019,2990,3015,6005,0.004929397508923199,0.004973885041391302,16.45205479452055,23.0,-10.586400032,142.289993286
23,KARRATHA,2019,2996,2980,5976,0.0049392892764996334,0.004916145082370176,16.372602739726027,24.0,-20.712200164799995,116.773002625
24,COFFS_HARBOUR,2019,2910,2902,5812,0.004797507274570739,0.004787467459408809,15.923287671232877,25.0,-30.320601,153.115997
25,KING_ISLAND,2019,2795,2795,5590,0.004607915062689077,0.004610948156115652,15.315068493150685,26.0,-39.877498626708984,143.8780059814453
26,PALM_ISLAND,2019,2592,2553,5145,0.004273243593019709,0.0042117175823124355,14.095890410958905,27.0,-18.755300521850586,146.58099365234375
27,BROOME,2019,2544,2539,5083,0.004194109452408233,0.004188621598703986,13.926027397260274,28.0,-17.944700241088867,122.23200225830078
28,ARMIDALE,2019,2515,2509,5024,0.004146299242455466,0.0041391302052573055,13.764383561643836,29.0,-30.528099060099997,151.617004395
29,TAMWORTH,2019,2511,2499,5010,0.004139704730737844,0.004122633074108413,13.726027397260275,30.0,-31.0839004517,150.847000122
30,MOUNT_ISA,2019,2546,2436,4982,0.004197406708267045,0.004018701147870386,13.64931506849315,31.0,-20.663900375399997,139.488998413
31,GLADSTONE,2019,2472,2469,4941,0.004075408241491019,0.004073141680661733,13.536986301369863,32.0,-23.8499,151.24855
32,GRIFFITH,2019,2556,2289,4845,0.004213892987561103,0.003776193319981655,13.273972602739725,33.0,-34.2508010864,146.067001343
33,MELBOURNE_ESSENDON,2019,2482,2362,4844,0.004091894520785077,0.003896622377368576,13.271232876712329,34.0,-37.7281,144.901993
34,EMERALD,2019,2408,2406,4814,0.003969896054009051,0.003969209754423705,13.189041095890412,35.0,-23.5166,148.1539
35,PORT_HEDLAND,2019,2381,2362,4743,0.0039253830999150955,0.003896622377368576,12.994520547945205,36.0,-20.3777999878,118.625999451
36,HAMILTON_ISLAND,2019,2368,2363,4731,0.0039039509368328207,0.003898272090483465,12.961643835616439,37.0,-20.3581008911,148.95199585
37,PORT_MACQUARIE,2019,2317,2315,4632,0.0038198709124331277,0.0038190858609687774,12.69041095890411,38.0,-31.4358005524,152.863006592
38,BALLINA,2019,2250,2237,4487,0.0037094128411629423,0.0036904082380074107,12.293150684931506,39.0,-28.8339004517,153.56199646
39,NEWMAN,2019,2130,2115,4245,0.003511577489634252,0.0034891432379909135,11.63013698630137,40.0,-23.417800903299998,119.803001404
40,WHYALLA,2019,2067,2062,4129,0.0034077139300816893,0.0034017084429017793,11.312328767123288,41.0,-33.05889892578125,137.51400756835938
41,AYERS_ROCK,2019,2053,2047,4100,0.003384633139070009,0.0033769627461784396,11.232876712328768,42.0,-25.1861,130.975998
42,BURNIE,2019,2045,2044,4089,0.003371444115634763,0.0033720136068337717,11.202739726027398,43.0,-41.047167,145.880667
43,KALGOORLIE,2019,2023,2011,4034,0.0033351743011878366,0.003317573074042424,11.052054794520547,44.0,-30.789400100699996,121.461997986
44,ORANGE,2019,1994,1861,3855,0.0032873640912350695,0.003070116106809026,10.561643835616438,45.0,-33.3816986084,149.132995605
45,MOUNT_GAMBIER,2019,1810,1807,3617,0.002984016552224411,0.0029810315986050027,9.90958904109589,46.0,-37.745601654052734,140.78500366210938
46,BUNDABERG,2019,1789,1786,3575,0.0029493953657068906,0.0029463876231923267,9.794520547945206,47.0,-24.903900146499996,152.319000244
47,BROKEN_HILL,2019,1752,1749,3501,0.0028883961323188777,0.002885348237941422,9.591780821917808,48.0,-32.0013999939,141.472000122
48,MERIMBULA,2019,1540,1548,3088,0.002538887011284858,0.0025537559018486687,8.46027397260274,49.0,-36.9085998535,149.901000977
49,TOOWOOMBA_WELLCAMP,2019,1542,1543,3085,0.00254218426714367,0.002545507336274222,8.452054794520548,50.0,-27.558332,151.793335
50,HERVEY_BAY,2019,1483,1483,2966,0.0024449152193087302,0.0024465245493808627,8.126027397260273,51.0,-25.3188991547,152.880004883
51,PROSERPINE,2019,1475,1470,2945,0.0024317261958734845,0.0024250782788873015,8.068493150684931,52.0,-20.4950008392,148.552001953
52,DEVONPORT,2019,1346,1344,2690,0.002219053192980142,0.002217214426411247,7.36986301369863,53.0,-41.1697006226,146.429992676
53,BATHURST_ISLAND,2019,1266,1266,2532,0.002087162958627682,0.00208853680344988,6.936986301369863,54.0,-11.769200325012207,130.6199951171875
54,MORANBAH,2019,1223,1173,2396,0.0020162719576632348,0.0019351134837651733,6.564383561643836,55.0,-22.039842,148.261292
55,PARABURDOO,2019,1183,1180,2363,0.0019503268404870047,0.0019466614755693985,6.473972602739726,56.0,-23.1711006165,117.745002747
56,ALBANY,2019,1171,1171,2342,0.0019305433053341356,0.0019318140575353946,6.416438356164384,57.0,-34.94329833984375,117.80899810791016
57,KINGSCOTE,2019,1139,1139,2278,0.0018777872115931515,0.0018790232378589364,6.241095890410959,58.0,-35.71390151977539,137.52099609375
58,ROMA,2019,1126,1124,2250,0.0018563550485108768,0.0018542775411355965,6.164383561643835,59.0,-26.545000076300003,148.774993896
59,PARKES,2019,1078,1076,2154,0.0017772209078994008,0.001775091311620909,5.901369863013699,60.0,-33.131401062,148.238998413
